ModelWeb Browser Results

nrlmsise model listing
Required input parameters
Year= 2021, Month=  4, Day=  1, Hour=21.00,
Time_type = Universal
Coordinate_type = Geographic
Latitude=   40.00, Longitude=   40.00, Height=   100.00
Prof. parameters: Start=     0.00 Stop=   500.00 Step=     0.50

Optional input parameters:

Sunspot number(Rz12) =not specified
Ionospheric index(IG12) =not specified
Upper limit for Electron content = not specified
F peak model =  
Ne Topside =  
foF2 Storm model =  
Bottomside Thickness =  
F1 occurrence probability =  
D-Region Ne =  
Topside Te =  
Ion Composition =  

Selected output parameters:
1  Height, km
2  Mass_density, g/cm-3
3  Temperature_neutral, K
  278.0 1.557E-14  707.5
  278.5 1.535E-14  707.5
  279.0 1.513E-14  707.5
  279.5 1.492E-14  707.5
  280.0 1.471E-14  707.6
  280.5 1.450E-14  707.6
  281.0 1.430E-14  707.6
  281.5 1.410E-14  707.6
  282.0 1.390E-14  707.6
  282.5 1.370E-14  707.6
  283.0 1.351E-14  707.6
  283.5 1.332E-14  707.6
  284.0 1.314E-14  707.7
  284.5 1.295E-14  707.7
  285.0 1.277E-14  707.7
  285.5 1.259E-14  707.7
  286.0 1.242E-14  707.7
  286.5 1.225E-14  707.7
  287.0 1.208E-14  707.7
  287.5 1.191E-14  707.7
  288.0 1.174E-14  707.7
  288.5 1.158E-14  707.7
  289.0 1.142E-14  707.8
  289.5 1.126E-14  707.8
  290.0 1.111E-14  707.8
  290.5 1.095E-14  707.8
  291.0 1.080E-14  707.8
  291.5 1.066E-14  707.8
  292.0 1.051E-14  707.8
  292.5 1.037E-14  707.8
  293.0 1.022E-14  707.8
  293.5 1.008E-14  707.8
  294.0 9.946E-15  707.8
  294.5 9.810E-15  707.9
  295.0 9.676E-15  707.9
  295.5 9.544E-15  707.9
  296.0 9.414E-15  707.9
  296.5 9.286E-15  707.9
  297.0 9.160E-15  707.9
  297.5 9.036E-15  707.9
  298.0 8.914E-15  707.9
  298.5 8.793E-15  707.9
  299.0 8.674E-15  707.9
  299.5 8.557E-15  707.9
  300.0 8.442E-15  707.9
  300.5 8.328E-15  707.9
  301.0 8.216E-15  707.9
  301.5 8.105E-15  707.9
  302.0 7.996E-15  708.0
  302.5 7.889E-15  708.0
  303.0 7.783E-15  708.0
  303.5 7.679E-15  708.0
  304.0 7.576E-15  708.0
  304.5 7.475E-15  708.0
  305.0 7.375E-15  708.0
  305.5 7.277E-15  708.0
  306.0 7.180E-15  708.0
  306.5 7.084E-15  708.0
  307.0 6.990E-15  708.0
  307.5 6.897E-15  708.0
  308.0 6.806E-15  708.0
  308.5 6.716E-15  708.0
  309.0 6.627E-15  708.0
  309.5 6.539E-15  708.0
  310.0 6.452E-15  708.0
  310.5 6.367E-15  708.0
  311.0 6.283E-15  708.0
  311.5 6.200E-15  708.0
  312.0 6.119E-15  708.0
  312.5 6.038E-15  708.1
  313.0 5.959E-15  708.1
  313.5 5.880E-15  708.1
  314.0 5.803E-15  708.1
  314.5 5.727E-15  708.1
  315.0 5.652E-15  708.1
  315.5 5.578E-15  708.1
  316.0 5.505E-15  708.1
  316.5 5.433E-15  708.1
  317.0 5.362E-15  708.1
  317.5 5.293E-15  708.1
  318.0 5.224E-15  708.1
  318.5 5.156E-15  708.1
  319.0 5.089E-15  708.1
  319.5 5.022E-15  708.1
  320.0 4.957E-15  708.1
  320.5 4.893E-15  708.1
  321.0 4.829E-15  708.1
  321.5 4.767E-15  708.1
  322.0 4.705E-15  708.1
  322.5 4.644E-15  708.1
  323.0 4.584E-15  708.1
  323.5 4.525E-15  708.1
  324.0 4.467E-15  708.1
  324.5 4.409E-15  708.1
  325.0 4.353E-15  708.1
  325.5 4.297E-15  708.1
  326.0 4.241E-15  708.1
  326.5 4.187E-15  708.1
  327.0 4.133E-15  708.1
  327.5 4.080E-15  708.1
  328.0 4.028E-15  708.1
  328.5 3.976E-15  708.1
  329.0 3.926E-15  708.1
  329.5 3.875E-15  708.1
  330.0 3.826E-15  708.2
  330.5 3.777E-15  708.2
